,0
High Price (LKR),0.18994375228484434
MA-4,0.18599083194631924
Lag-1 Wk,0.15194396005880195
Lag-2 Wk,0.12474229871224383
MA-8,0.12340918026700369
Lag-4 Wk,0.10198347046506105
Grade_Enc,0.033314971404683154
Temp °C,0.025751888026621754
Dist_Enc,0.022364374857605885
Crop_Enc,0.01731767621242938
vs MA4,0.0064486476258858805
Humidity%,0.0055909510093130575
Momentum,0.003985622610694514
Chg%,0.0021208487094787933
Week,0.0020835749116443003
Month,0.0012045748458234706
Rain 3M Avg,0.0009473109674601012
Rain mm,0.00043025112546387235
Season_Enc,0.00030996756542892056
Harvest?,0.0001158463931927162
